data_year,groupb_arrestee_id,weapon_code,weapon_id
2024,54682522,01,51
2024,54682511,01,51
2024,54682530,01,51
2024,54682526,01,51
2024,54682497,01,51
2024,54682506,01,51
2024,54682543,01,51
2024,54682539,01,51
2024,54682549,01,51
2024,55793978,01,51
2024,55428364,01,51
2024,55428355,01,51
2024,55428347,01,51
2024,55428369,01,51
2024,55428389,01,51
2024,55428405,01,51
2024,55428374,01,51
2024,55428382,01,51
2024,55428398,01,51
2024,55428375,01,51
2024,55428385,01,51
2024,55428401,01,51
2024,55428376,01,51
2024,55428392,01,51
2024,55428406,01,51
2024,55428349,01,51
2024,55428358,01,51
2024,55794045,01,51
2024,55794142,01,51
2024,55793971,01,51
2024,55428395,01,51
2024,55428412,01,51
2024,55428425,01,51
2024,55428439,01,51
2024,55428366,01,51
2024,55428378,01,51
2024,55428397,01,51
2024,55428410,01,51
2024,55428465,01,51
2024,55428357,01,51
2024,55428371,01,51
2024,55428386,01,51
2024,55428403,01,51
2024,55428416,01,51
2024,55428504,01,51
2024,55428388,01,51
2024,55428404,01,51
2024,55428429,01,51
2024,55428427,01,51
2024,55428438,01,51
2024,55428448,01,51
2024,55428452,01,51
2024,55428511,01,51
2024,55428367,01,51
2024,56169223,01,51
2024,56169235,01,51
2024,55793953,01,51
2024,55793969,01,51
2024,55793926,01,51
2024,55793930,01,51
2024,55793936,01,51
2024,55793943,01,51
2024,55794156,01,51
2024,55793981,01,51
2024,55793996,01,51
2024,55793931,01,51
2024,55793938,01,51
2024,55793972,01,51
2024,55793991,01,51
2024,55794002,01,51
2024,55793944,01,51
2024,55793959,01,51
2024,55793975,01,51
2024,55793925,01,51
2024,55793929,01,51
2024,55793933,01,51
2024,55793941,01,51
2024,55793949,01,51
2024,55793956,01,51
2024,55794166,01,51
2024,55793997,01,51
2024,55794005,01,51
2024,56506034,01,51
2024,56506044,01,51
2024,55793937,01,51
2024,55793945,01,51
2024,55793965,01,51
2024,55793974,01,51
2024,55793985,01,51
2024,55793998,01,51
2024,55793951,01,51
2024,55793940,01,51
2024,55793954,01,51
2024,55793966,01,51
2024,55793983,01,51
2024,55793958,01,51
2024,55793992,01,51
2024,55794011,01,51
2024,55794012,01,51
2024,55794025,01,51
2024,55794020,01,51
2024,55794027,01,51
2024,55793928,01,51
2024,55793934,01,51
2024,55793932,01,51
2024,55793948,01,51
2024,55793967,01,51
2024,55793995,01,51
2024,55794010,01,51
2024,55794019,01,51
2024,55794029,01,51
2024,55793947,01,51
2024,55793961,01,51
2024,55793973,01,51
2024,55793955,01,51
2024,55793968,01,51
2024,55793980,01,51
2024,55793942,01,51
2024,55793960,01,51
2024,55793976,01,51
2024,55793987,01,51
2024,55793935,01,51
2024,55793946,01,51
2024,55793988,01,51
2024,55794003,01,51
2024,55793939,01,51
2024,55793952,01,51
2024,56169200,01,51
2024,56169209,01,51
2024,56169214,01,51
2024,56169220,01,51
2024,56169222,01,51
2024,56169227,01,51
2024,56169231,01,51
2024,56169217,01,51
2024,56169225,01,51
2024,56169229,01,51
2024,56169238,01,51
2024,56169184,01,51
2024,56169204,01,51
2024,56169206,01,51
2024,56169216,01,51
2024,56169208,01,51
2024,56169212,01,51
2024,56169219,01,51
2024,56169221,01,51
2024,56169226,01,51
2024,56169215,01,51
2024,56169224,01,51
2024,56169228,01,51
2024,56169198,01,51
2024,56169211,01,51
2024,56169213,01,51
2024,56169218,01,51
2024,56169202,01,51
2024,56169189,01,51
2024,56506036,01,51
2024,56506010,01,51
2024,56506018,01,51
2024,56506009,01,51
2024,56506015,01,51
2024,56506013,01,51
2024,56506017,01,51
2024,56506014,01,51
2024,56506037,01,51
2024,56506027,01,51
2024,56506029,01,51
2024,56506031,01,51
2024,56506020,01,51
2024,56506023,01,51
2024,56506025,01,51
2024,56506032,01,51
2024,56506038,01,51
2024,56506035,01,51
2024,53305847,01,51
2024,53305848,01,51
2024,53305849,01,51
2024,53305850,01,51
2024,53305851,01,51
2024,53750547,01,51
2024,54675648,01,51
2024,55125284,01,51
2024,55125285,01,51
2024,55125286,01,51
2024,55424867,01,51
2024,55424869,01,51
2024,55424870,01,51
2024,55424871,01,51
2024,55424872,01,51
2024,55790745,01,51
2024,55790746,01,51
2024,52523573,01,51
2024,52523575,01,51
2024,52523578,01,51
2024,53306219,01,51
2024,53306223,01,51
2024,52524323,01,51
2024,52524324,01,51
2024,52524321,01,51
2024,52524322,01,51
2024,52524314,01,51
2024,52524319,01,51
2024,52524311,01,51
2024,52524316,01,51
2024,52524308,01,51
2024,52524310,01,51
2024,52524317,01,51
2024,52524320,01,51
2024,52524315,01,51
2024,52524309,01,51
2024,52524312,01,51
2024,52524318,01,51
2024,52633349,01,51
2024,52633346,01,51
2024,52633343,01,51
2024,52633348,01,51
2024,52633356,01,51
2024,52633359,01,51
2024,52633350,01,51
2024,52633352,01,51
2024,52633355,01,51
2024,52967606,01,51
2024,52967600,01,51
2024,52967602,01,51
2024,52967601,01,51
2024,52967605,01,51
2024,52967607,01,51
2024,52967609,01,51
2024,52967599,01,51
2024,52967603,01,51
2024,52967604,01,51
2024,53751535,01,51
2024,53751530,01,51
2024,53751531,01,51
2024,53751533,01,51
2024,53751515,01,51
2024,53751518,01,51
2024,53751521,01,51
2024,53751558,01,51
2024,53751528,01,51
2024,53751532,01,51
2024,53751534,01,51
2024,53751536,01,51
2024,53751538,01,51
2024,53751526,01,51
2024,53751529,01,51
2024,54677194,01,51
2024,54677199,01,51
2024,54677185,01,51
2024,54677186,01,51
2024,54677191,01,51
2024,54677195,01,51
2024,54677198,01,51
2024,54677202,01,51
2024,54677204,01,51
2024,54677209,01,51
2024,54677189,01,51
2024,54677206,01,51
2024,54677192,01,51
2024,54677200,01,51
2024,54677190,01,51
2024,54677197,01,51
2024,54677188,01,51
2024,56506315,01,51
2024,56506339,01,51
2024,56506428,01,51
2024,56506393,01,51
2024,56506302,01,51
2024,56506367,01,51
2024,56506388,01,51
2024,56506407,01,51
2024,56506418,01,51
2024,56506422,01,51
2024,56506343,01,51
2024,56506375,01,51
2024,56506386,01,51
2024,56506403,01,51
2024,56506413,01,51
2024,56506420,01,51
2024,56506316,01,51
2024,56506340,01,51
2024,56506429,01,51
2024,56506430,01,51
2024,56506301,01,51
2024,56506329,01,51
2024,56506351,01,51
2024,56506317,01,51
2024,56506345,01,51
2024,56506337,01,51
2024,56506419,01,51
2024,56506421,01,51
2024,56506348,01,51
2024,56506362,01,51
2024,56506394,01,51
2024,56506414,01,51
2024,56506381,01,51
2024,56506401,01,51
2024,56506408,01,51
2024,56506311,01,51
2024,56506336,01,51
2024,56506356,01,51
2024,56506334,01,51
2024,56506369,01,51
2024,56506389,01,51
2024,56506313,01,51
2024,56506324,01,51
2024,56506354,01,51
2024,56506378,01,51
2024,56506397,01,51
2024,56506322,01,51
2024,56506335,01,51
2024,56506352,01,51
2024,56506376,01,51
2024,56506310,01,51
2024,56506346,01,51
2024,56506361,01,51
2024,56506358,01,51
2024,56506372,01,51
2024,56506399,01,51
2024,56506417,01,51
2024,56506416,01,51
2024,56506412,01,51
