data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2023,166723123,20,1,,
2023,177992292,10,,,
2023,166723167,20,1500,,
2023,166723177,63,60,,
2023,166723321,3,4000,,
2023,167851853,50,318,,
2023,165243536,10,,,
2023,165243536,38,50,,
2023,167851862,38,236,,
2023,182556241,10,,,
2023,167851933,63,20,,
2023,167851934,43,120,,
2023,170712709,38,1000,,
2023,170712710,63,20,,
2023,167851822,46,500,,
2023,182556274,38,1,2023-11-12,
2023,167851929,10,,,
2023,167851793,20,560,,
2023,170712726,50,20,,
2023,166723357,10,,,
2023,166723357,13,500,,
2023,170951746,3,399,,
2023,170951753,3,250,,
2023,170951767,20,35,,
2023,165242465,34,3000,,
2023,170952209,63,1,,
2023,182552609,17,105,,
2023,170713687,10,,,
2023,170713683,51,0,,
2023,175158729,63,300,,
2023,175158742,63,2,,
2023,166723192,28,3550,2023-01-25,
2023,166723192,64,350,2023-01-25,
2023,177992362,63,500,,
2023,175158632,63,100,,
2023,177992371,21,3181,,
2023,177992384,60,100,,
2023,177992400,33,150,,
2023,182551232,63,1,,
2023,182551248,10,,,
2023,182551294,8,1,,
2023,170951221,63,1,,
2023,182551367,10,,,
2023,182551372,20,93,,
2023,182551235,38,1,,
2023,170951229,63,1000,,
2023,182551299,3,5000,,
2023,182551322,20,1000,,
2023,170951234,33,265,,
2023,182551342,6,204,,
2023,170951508,10,,,
2023,170951519,33,100,,
2023,182551411,3,5000,2023-12-06,
2023,182551411,28,3000,2023-12-06,
2023,182551411,62,2000,2023-12-06,
2023,182551412,3,5000,,
2023,182551412,28,3000,,
2023,182551412,62,2000,,
2023,182551440,47,0,,
2023,182551291,20,14000,,
2023,182551311,20,400,,
2023,182551353,63,1,,
2023,170951529,20,700,,
2023,182551376,50,43,,
2023,182551397,63,1,,
2023,182551391,63,20,,
2023,182551282,3,18000,,
2023,182551301,6,51,,
2023,182551301,8,78,,
2023,170951236,31,200,,
2023,170951240,7,200,,
2023,170951240,61,50,,
2023,171162842,10,,,
2023,182551341,6,99,,
2023,182551341,66,19,,
2023,170951235,19,13,,
2023,170951297,3,15000,,
2023,170951265,36,1200,,
2023,170951259,3,15000,2023-01-06,
2023,170951260,3,15000,,
2023,170951276,20,50,,
2023,170951284,20,375,,
2023,171162835,10,,,
2023,170951280,10,,,
2023,170951287,20,4462,,
2023,170951293,19,5712,,
2023,182551437,8,93,,
2023,170951256,10,,,
2023,182551474,3,3000,,
2023,182551474,63,3000,,
2023,170951267,6,1,,
2023,170951272,6,1,,
2023,170951298,20,160897,,
2023,170951303,10,,,
2023,170951303,63,1,,
2023,182551308,10,,,
2023,182551308,63,1,,
2023,182551352,10,,,
2023,182551403,2,84,,
2023,170951247,19,74,,
2023,170951249,19,1,2023-03-30,
2023,170951250,19,1,,
2023,170951319,8,40,,
2023,170951261,63,2,,
2023,170951685,7,30,,
2023,170951702,63,650,,
2023,170951722,63,400,2023-04-02,
2023,170951723,63,400,,
2023,170951733,35,1,,
2023,170951774,10,,,
2023,170951774,63,1,,
2023,170951309,26,250,,
2023,170951819,10,,,
2023,170951819,63,1,,
2023,170951312,3,650,,
2023,170951317,3,1,,
2023,170951320,63,100,,
2023,170951328,6,280,2023-04-08,
2023,170951329,6,280,,
2023,170951326,3,711,,
2023,170951337,8,37,,
2023,182551480,10,,,
2023,170951344,9,0,,
2023,171162850,8,406,,
2023,170951363,29,10,,
2023,170951348,3,380,,
2023,170951369,10,,,
2023,170951343,63,1,,
2023,182551476,6,1,,
2023,170951346,63,1,,
2023,171162848,8,60,,
2023,171162859,52,0,,
2023,171162861,7,1500,,
2023,171162861,63,1,,
2023,171162867,25,100,,
2023,171162871,42,250,,
2023,170951349,3,300,,
2023,171162878,10,,,
2023,171162845,52,0,,
2023,171162851,54,250,,
