data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2022,20500,149448110,40415919,f,2022-02-24 13:31:38.744,2022-02-18,f,13,6,,WARNINGS,,F,128981810
2022,20585,151397494,40390264,f,2022-03-22 13:01:53.805,2022-01-26,f,9,6,,WARNINGS,,F,135858579
2022,20585,149448467,40390264,f,2022-02-24 13:31:49.886,2022-01-29,f,16,6,,WARNINGS,,F,128982839
2022,20585,149448476,40415061,f,2022-02-24 13:31:50.107,2022-02-01,f,0,6,,WARNINGS,,F,128982855
2022,20500,165125827,40415919,f,2023-01-26 15:24:57.628,2022-02-18,f,15,2,2022-10-23,WARNINGS,,F,171098910
2022,20585,151397515,40415061,f,2022-03-22 13:01:54.045,2022-02-01,f,18,6,,WARNINGS,,F,135858615
2022,20585,165127506,40415061,f,2023-01-26 15:25:32.592,2022-02-02,f,5,6,,WARNINGS,,F,171101848
2022,20585,151397534,40415061,f,2022-03-22 13:01:54.243,2022-02-02,f,17,6,,WARNINGS,,F,135858653
2022,20585,151397557,40415061,f,2022-03-22 13:01:54.464,2022-02-03,f,10,6,,WARNINGS,,F,135858693
2022,20585,149448483,40415061,f,2022-02-24 13:31:50.33,2022-02-03,f,17,6,,WARNINGS,,F,128982876
2022,20500,151396762,40415919,f,2022-03-22 13:01:33.554,2022-02-23,f,15,6,,WARNINGS,,F,135857039
2022,20500,151396763,40415919,f,2022-03-22 13:01:33.715,2022-02-22,f,16,6,,WARNINGS,,F,135857044
2022,20500,151396765,40415919,f,2022-03-22 13:01:33.918,2022-02-25,f,15,6,,WARNINGS,,F,135857049
2022,20500,151396745,40415919,f,2022-03-22 13:01:32.311,2022-02-26,f,14,6,,WARNINGS,,F,135856994
2022,20500,152269453,44077610,f,2022-04-20 12:13:58.855,2022-03-04,f,10,6,,WARNINGS,,F,138086003
2022,20500,151396749,44077610,f,2022-03-22 13:01:32.649,2022-03-05,f,14,6,,WARNINGS,,F,135857008
2022,20500,151396805,44077610,f,2022-03-22 13:01:37.136,2022-03-08,f,14,6,,WARNINGS,,F,135857150
2022,20500,154759077,44077610,f,2022-06-21 17:19:57.33,2022-03-12,f,20,6,,WARNINGS,,F,144259478
2022,20500,151396819,44077610,f,2022-03-22 13:01:37.904,2022-03-13,f,16,6,,WARNINGS,,F,135857201
2022,20500,152269441,44077610,f,2022-04-20 12:13:55.599,2022-03-14,f,12,6,,WARNINGS,,F,138085987
2022,20585,149449896,40415061,f,2022-02-24 13:32:05.31,2022-02-07,f,9,6,,WARNINGS,,F,128985563
2022,20585,149449917,40415061,f,2022-02-24 13:32:05.554,2022-02-07,f,17,6,,WARNINGS,,F,128985620
2022,20500,152269442,44077610,f,2022-04-20 12:13:55.882,2022-03-15,f,9,6,,WARNINGS,,F,138085988
2022,20500,152269443,44077610,f,2022-04-20 12:13:56.142,2022-03-21,f,8,6,,WARNINGS,,F,138085989
2022,20500,165125828,44077610,f,2023-01-26 15:24:57.708,2022-03-21,f,12,6,,WARNINGS,,F,171098918
