data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,162306199,10,,,
2022,153329908,13,1637,,
2022,160738556,20,398,,
2022,150435647,10,,,
2022,154797107,2,47,2022-02-18,
2022,154797107,8,33,2022-02-18,
2022,154797108,2,47,,
2022,154797108,8,33,,
2022,150435697,20,2500,,
2022,150435639,38,200,,
2022,150435665,10,,,
2022,162306220,20,200,,
2022,150435719,50,75,,
2022,150435731,20,1838,,
2022,151194855,50,24,,
2022,150435702,10,,,
2022,151194862,6,50,,
2022,153329053,63,5,,
2022,151194832,19,50,,
2022,155986528,20,1,2022-03-01,
2022,164112250,3,8000,,
2022,155986911,8,120,,
2022,153330007,19,385,,
2022,153330007,36,300,,
2022,153330008,36,300,2022-06-16,
2022,155986918,8,100,,
2022,158275245,20,7000,,
2022,158275250,20,200,,
2022,155986922,63,1,,
2022,155986529,20,1,,
2022,150435827,2,15,,
2022,150435660,31,200,,
2022,164112068,20,1,,
2022,154797562,16,40,2022-06-22,
2022,154797563,16,40,,
2022,154797474,36,3750,,
2022,157203530,7,15,,
2022,157203530,19,20,,
2022,157203530,38,185,,
2022,157203530,43,40,,
2022,154797484,43,20,,
2022,154797484,61,300,,
2022,157203535,19,349,,
2022,154797508,63,524,,
2022,158275260,20,990,,
2022,158275249,3,41000,,
2022,158275249,10,,,
2022,158275249,20,301,,
2022,155986935,42,25,,
2022,157203557,20,10,,
2022,155986988,20,1,,
2022,155986942,25,20,,
2022,157203561,8,16,,
2022,155986969,63,836,,
2022,157203533,59,750,2022-08-01,
2022,157203534,59,750,,
2022,165445667,36,250,,
2022,158275257,38,200,,
2022,159500500,16,1,,
2022,158275261,10,,,
2022,159500514,36,400,,
2022,155987006,36,640,,
2022,155987006,62,2000,,
2022,157203562,63,4000,2022-08-30,
2022,157203563,63,4000,,
2022,158275268,3,25000,,
2022,158275269,63,25000,,
2022,157203571,20,1000,,
2022,157203578,13,1,,
2022,158275272,10,,,
2022,165445670,20,7000,,
2022,157203548,37,3000,,
2022,157203555,38,1400,,
2022,151194835,29,50,,
2022,150435673,19,580,2022-03-04,
2022,150435674,19,580,,
2022,151194838,19,34,2022-03-07,
2022,151194839,19,34,,
2022,157202929,24,2200,,
2022,165445574,6,2,,
2022,165445574,63,9,,
2022,151194856,50,848,,
2022,150435828,38,5000,,
2022,152343247,8,34,,
2022,151194860,20,40,,
2022,152343230,38,200,,
2022,151194869,35,980,,
2022,151194878,20,150,,
2022,151194878,25,25,,
2022,151194878,51,0,,
2022,150435739,61,500,,
2022,150435701,10,,,
2022,157202952,3,200,,
2022,157203597,20,700,,
2022,151194850,10,,,
2022,162307201,63,300,,
2022,157203564,50,18,,
2022,159500494,35,1,,
2022,159500517,8,7,,
2022,159500517,45,14,,
2022,162307205,17,200,,
2022,151194867,8,238,,
2022,150435787,3,1500,,
2022,150435810,2,5,,
2022,151194906,20,427,,
2022,151194919,10,,,
2022,155986535,10,,,
2022,151194978,10,,,
2022,151195003,6,28,2022-03-16,
2022,151195004,6,28,,
2022,151195024,3,15000,2022-03-17,
2022,151195025,3,15000,,
2022,151194859,10,,,
2022,151194865,6,11,,
2022,162306234,10,,,
2022,150435858,10,,,
2022,152343326,51,0,,
2022,151194885,16,39,,
2022,151194885,17,900,,
2022,151194885,45,450,,
2022,151194887,61,200,,
2022,151194892,20,155,,
2022,151194901,49,5,,
2022,155986539,10,,,
2022,151194957,3,300,,
2022,162307206,61,999,,
2022,159500515,38,35000,,
2022,159500516,38,10000,,
2022,159500522,38,200,,
2022,159500534,35,250,,
2022,159500544,20,400,,
2022,159500501,42,20,,
2022,152343378,38,2600,,
2022,159499890,27,20,,
2022,152343421,10,,,
2022,151194973,10,,,
2022,151194840,3,10,,
2022,151194891,3,500,,
2022,153329042,38,75,,
2022,151194977,20,500,,
2022,152343487,20,249,,
2022,152343515,8,200,,
2022,152343515,20,1800,,
2022,152343309,7,300,,
2022,151194883,7,1077,,
2022,165445276,63,1,,
2022,160738774,16,273,,
2022,159500511,8,42,2022-11-12,
2022,159500512,8,116,,
2022,159500526,50,136,,
2022,165445577,12,20000,,
2022,160738768,38,500,,
2022,151194908,10,,,
2022,151194909,13,930,2022-03-31,
2022,151194909,49,12,2022-03-31,
2022,152343279,63,40,,
2022,158274928,9,0,,
2022,158274928,20,64,,
2022,151194940,6,20,2022-04-02,
2022,151194941,6,20,,
2022,159499901,19,193,,
2022,151194947,10,,,
2022,151194956,61,800,,
2022,152343294,3,500,,
2022,152343299,30,1,,
2022,151194893,54,50,,
2022,152343289,8,100,,
2022,152343295,29,100,,
2022,151194939,35,150,,
2022,151194974,10,,,
2022,152343304,19,32,,
2022,159499847,20,400,,
2022,153329062,10,,,
2022,151195033,10,,,
2022,152343338,42,710,,
2022,152343350,9,0,,
2022,152343350,50,25,,
2022,152343350,63,479,,
2022,152343353,42,50,,
2022,151194882,10,,,
2022,151194910,10,,,
2022,151194934,36,10,,
2022,162306262,10,,,
2022,152343296,20,950,,
2022,152343306,42,100,,
2022,154797113,38,300,,
2022,152343320,19,15,2022-04-16,
2022,152343321,19,15,,
2022,152343328,10,,,
2022,152343339,20,3000,,
2022,152343347,16,317,,
2022,153329038,63,938,,
2022,152343356,63,18,,
2022,154797121,45,750,,
2022,154797126,35,50,,
2022,153329041,20,20000,,
2022,159499896,10,,,
2022,152343333,20,100,,
2022,152343333,63,20,,
2022,153329044,38,1000,,
2022,154797118,19,35,2022-04-25,
2022,154797120,19,35,,
2022,160738583,51,0,,
2022,152343352,20,50,,
2022,153329055,6,1,,
2022,153329055,8,1152,,
2022,154797145,10,,,
2022,153329063,50,806,,
2022,152343383,50,1200,,
2022,153329069,41,200,,
2022,159499904,10,,,
2022,153329079,10,1,,
2022,153329064,19,110,2022-04-28,
2022,153329065,19,110,,
2022,153329071,19,98,,
2022,153329075,33,300,,
2022,152343531,19,296,,
2022,152343331,20,286,,
2022,152343331,21,1,,
2022,152343331,25,50,,
2022,152343331,51,0,,
2022,152343331,68,1,,
2022,153329080,4,899,,
2022,152343345,26,1,,
2022,152343345,36,1,,
2022,153329086,36,3804,,
2022,153329104,52,0,,
2022,162306206,10,,,
2022,165445295,19,198,,
2022,147187000,8,25,,
2022,151195036,30,10,,
2022,148753621,6,100,,
2022,151195043,29,100,,
2022,151195044,29,1,,
2022,162305736,20,1000,,
2022,150435116,38,400,,
2022,151195047,29,350,,
2022,150435128,29,1,,
2022,162306245,3,150,,
2022,152343361,26,150,,
2022,152343368,54,296,,
2022,153329112,3,150,,
2022,152343366,47,0,,
2022,155986545,63,400,,
2022,150435167,38,250,,
2022,150435189,38,100,,
2022,150435203,38,75,,
2022,150435143,3,500,,
2022,151195054,3,937,,
2022,154797161,50,25,,
2022,153329153,61,1200,,
2022,153329160,37,300,,
2022,152343370,26,200,,
2022,153329173,58,1199,,
2022,152343335,36,2392,,
2022,152343335,50,22,,
2022,159499915,6,1000,,
2022,154797169,2,26,,
2022,154797169,16,16,,
2022,155986551,8,46,,
2022,152342454,10,1,,
2022,153328758,54,40,,
2022,152342460,29,300,,
2022,157202620,2,1,,
2022,153329154,16,140,,
2022,153329084,20,100,,
2022,154797218,20,7200,,
2022,153329100,19,3,,
2022,155986555,20,20,,
2022,153329129,6,64,,
2022,153329135,9,0,,
2022,153329135,20,20,,
2022,153329135,25,110,,
2022,155986575,19,100,,
2022,162306258,10,,,
2022,153329089,20,9,,
2022,155986559,10,,,
2022,153329102,10,,,
